name,ra,dec
Tycho SNR,6.34,64.141
ACO 2811,10.537,-28.536
gam Cas,14.177,60.717
39 Cet,19.151,-2.5
SMC X-1,19.271,-73.443
UV Cet,24.757,-17.95
PSR J0146+6145,26.593,61.751
RX J0227.2+0201,36.819,2.033
NGC 931,37.06,31.312
Mrk 1044,37.523,-8.998
OKM2018 SWIFT J0244.8-5829,41.168,-58.332
VY Ari,42.182,31.115
ACO 401,44.737,13.582
MCG-02-08-038,45.018,-10.825
bet Per,47.042,40.956
EF Eri,48.555,-22.595
3C 84,49.951,41.512
QSO B0317+18,49.966,18.76
UX Ari,51.647,28.715
HD 22468,54.197,-0.588
HD 22403,54.296,25.991
ZwCl 0335+0956,54.647,9.965
ACO 3158,55.665,-53.631
X Per,58.846,31.046
EI Eri,62.42,-7.893
HD 283447,63.554,28.203
1RXS J041833.6-073637,64.642,-7.614
3C 120,68.296,5.354
RXC J0433.6-1315,68.377,-13.239
AT 2019wey,68.847,55.376
HD 283750,69.201,27.132
LS V +44 17,70.247,44.53
HD 29697,70.329,20.902
CD-56 1032B,73.377,-55.859
YY Men,74.575,-75.277
SNR J050555-680150/SNR B0505-67.9,76.479,-68.032
SNR J050854-684447,77.245,-68.729
IRAS 05078+1626,77.69,16.499
1H 0512-401,78.527,-40.044
alf Aur,79.172,45.998
LEIA221207a,79.405,28.589
SNR B0519-69.0,79.896,-69.033
LMC X-2,80.117,-71.965
2MASS J05242572+1922070,81.107,19.369
SNR J052501-693842,81.259,-69.644
SNR J052559-660453/SNR B0525-66.0,81.502,-66.084
AF Lep,81.77,-11.901
AB Dor,82.187,-65.449
1RXS J052911.4+261009,82.297,26.169
LMC X-4,83.206,-66.37
Crab,83.629,22.015
M 42,83.821,-5.39
RX J0535.6-6651,83.921,-66.865
SNR B0535-66.0,83.93,-66.033
HD 245358,84.215,23.435
HD 245770,84.727,26.316
LMC X-3,84.736,-64.084
RX J0539.5-6433,84.897,-64.564
LMC X-1,84.912,-69.743
ACO S 540,85.026,-40.841
PSR B0540-69,85.045,-69.332
2FGL J0543.9-5532,85.988,-55.535
1RXS J054638.5-624322,86.66,-62.723
HD 42270,88.372,-81.948
MCG +08-11-011,88.723,46.439
1RXS J060415.2+124555,91.063,12.765
HD 41824,91.195,-48.458
V1055 Ori,94.281,9.137
IC 443,94.395,22.467
HD 48189,99.501,-61.533
GSC 4367-00629,103.326,72.762
ACO 576,110.35,55.739
Mrk 79,115.637,49.81
sig Gem,115.828,28.884
YZ Cmi,116.167,3.552
L 34-26,117.303,-76.702
2MASX J08052657+7534247,121.361,75.574
1ES 0806+52.4,122.455,52.316
SDSS J081014.48+280337.1,122.56,28.06
ACO 644,124.352,-7.513
Pup A,126.029,-42.997
FI Cnc,128.072,29.319
Vela Pulsar,128.836,-45.176
2MASS J08471293+1133501,131.804,11.564
US 1665,131.935,46.876
4U 0900-40,135.529,-40.555
MAXI J0911-655,138.01,-64.868
2MASS J09172811+1348577,139.367,13.816
Mrk 704,139.608,16.305
4U 0919-54,140.11,-55.207
HD 80492,140.314,39.666
BF Lyn,140.608,40.201
V395 Car,140.644,-63.295
MCG+04-22-042,140.929,22.909
NuSTAR J092418-3142.2,141.076,-31.705
Mrk 110,141.304,52.286
RX J0925.7-4758,141.442,-47.971
GS Leo,142.649,10.602
QSO B0927+500,142.657,49.84
FF UMa,143.444,62.828
d UMa,143.62,69.83
DH Leo,150.007,24.553
HD 87525,150.969,-56.19
MCC 124,153.58,21.075
1ES 1011+496,153.767,49.434
1RXS J101926.7+760947,154.861,76.163
BD+20 2465,154.901,19.87
2FGL J1023.1-0115,155.682,-1.217
NGC 3227,155.877,19.865
ACO 990,155.921,49.135
2FGL J1033.5-5032,158.384,-50.591
DM Uma,163.931,60.469
QSO J1103-2329,165.907,-23.492
Mrk 421,166.114,38.209
ksi UMa B,169.545,31.529
1RXS J112042.3-605905,170.176,-60.985
Cen X-3,170.313,-60.624
SNR G292.0+01.8,171.246,-59.318
12 Mus,174.873,-65.398
DO Dra,175.91,71.689
LEIA230308a,177.176,39.709
SNR G296.1-00.7/SNR G296.0-00.6,177.8,-62.767
NGC 4051,180.79,44.531
NGC 4151,182.636,39.406
4U 1210-64,183.271,-64.917
1RXS J121452.1-652801,183.717,-65.467
DK Dra,183.923,72.551
ZwCl 1215+0400,184.419,3.663
NGC 4253,184.61,29.813
QSO B1218+304,185.341,30.177
BP Cru,186.657,-62.77
3C 273,187.278,2.052
M 87,187.706,12.391
4U 1246-58,192.414,-59.087
EX Hya,193.101,-29.249
GR Mus,194.405,-69.289
ACO 1650,194.653,-1.726
HD 112859,194.766,47.151
ACO 1651,194.843,-4.196
ACO 1656,194.953,27.981
RS CVn,197.654,35.935
NGC 5044,198.85,-16.385
BM CVn,200.384,38.88
BH CVn,203.699,37.182
ESO 383-35,203.974,-34.296
SDSS J134448.52+404106.8,206.202,40.685
ACO 3571,206.87,-32.866
MCG+05-33-005,207.219,26.593
ACO 1795,207.252,26.585
NGC 5548,214.498,25.137
QSO B1426+428,217.136,42.673
V841 Cen,218.567,-60.408
RCW 86,220.121,-62.645
i Boo,225.947,47.654
ACO 2029,227.745,5.762
PSR B1509-58,228.481,-59.136
BR Cir,230.17,-57.167
QV Nor,235.597,-52.386
QU TrA,236.978,-62.568
[MWC2015] MG J1549+3047 3357,237.536,30.958
QSO B1553+113,238.929,11.19
LU TrA,240.26,-60.738
QX Nor,243.179,-52.423
sig CrB,243.67,33.859
AJG 44,244.388,-51.033
Sco X-1,244.979,-15.64
4U 1624-49,247.023,-49.211
ACO 2199,247.154,39.524
KZ TrA,248.07,-67.461
Nor X-1,248.507,-47.393
V801 Ara,250.232,-53.751
4U 1642-45,251.449,-45.611
4C 39.49,253.468,39.76
HD 152751,253.87,-8.336
HZ Her,254.458,35.342
XTE J1701-462,255.244,-46.186
4U 1701-407,255.435,-40.858
H 1700-377,255.987,-37.844
V1101 Sco,256.435,-36.423
Ara X-1,256.564,-43.036
IGR J17062-6143,256.568,-61.711
4U 1705-44,257.227,-44.102
4U 1708-40,258.099,-40.843
Oph Cluster,258.103,-23.35
WRAY 15-1674,259.925,-46.258
4U 1722-30,261.889,-30.802
Kepler SNR,262.65,-21.482
V2216 Oph,262.934,-16.961
Slow Burster,262.991,-33.834
4U 1730-22,263.488,-22.035
1RXS J173546.9-302859,263.945,-30.483
Terzan 1,263.949,-30.47
1ES 1735-26.9,264.571,-26.994
V926 Sco,264.743,-44.45
XTE J1739-285,264.975,-28.496
GX 3+1,266.983,-26.564
Sgr X-1,266.983,-26.564
Terzan 5,267.021,-24.78
RX J1749.8-3312,267.454,-33.203
4U 1746-371,267.553,-37.052
V4134 Sgr,269.667,-33.807
4U 1758-25,270.291,-25.079
GX 5-1,270.291,-25.079
Sgr X-3,270.385,-20.529
XTE J1810-189,272.587,-19.07
V5512 Sgr,273.631,-17.157
NP Ser,274.006,-14.036
Sgr X-4,275.919,-30.361
4U 1823-00,276.342,-0.012
V4634 Sgr,277.368,-23.797
MM Ser,279.99,5.036
V1405 Aql,289.699,-5.238
1ES 1959+650,299.999,65.149
EXO 2030+375,308.064,37.637
Cyg X-3,308.107,40.958
SS Cyg,325.678,43.586
Cyg X-2,326.171,38.321
V376 Cep,329.582,82.871
HK Lac,331.236,47.235
AR Lac,332.17,45.742
IM Peg,343.259,16.841
Cas A,350.85,58.815
lam And,354.391,46.458
II Peg,358.767,28.634
