Number,Type,Common Name,Category,Classification,RA,Dec,R_Flux,Tag,Comments,ID
1,Source,M 87,AGN,AGN,187.706,12.391,1.41E-09,Known Source,,22293
2,Source,MCG-02-08-038,AGN,AGN,45.018,-10.825,3.37E-11,Known Source,,22240
3,Source,NGC 3227,AGN,AGN,155.877,19.865,6.92E-11,Known Source,,22108
4,Source,NGC 4051,AGN,AGN,180.79,44.531,7.96E-11,Known Source,,22512
5,Source,NGC 4696,AGN,AGN,192.205,-41.311,9.66E-09,Known Source,,23017
6,Source,1ES 0806+52.4,AGN,BL Lac,122.455,52.316,1.74E-11,Known Source,,22056
7,Source,1ES 1011+496,AGN,BL Lac,153.767,49.434,2.4E-11,Known Source,,21945
8,Source,1ES 1959+650,AGN,BL Lac,299.999,65.149,3.18E-10,Known Source,,361
9,Source,2FGL J0543.9-5532,AGN,BL Lac,85.988,-55.535,2.04E-11,Known Source,,21495
10,Source,2FGL J1023.1-0115,AGN,BL Lac,155.682,-1.217,1.58E-11,Known Source,,22367
11,Source,2FGL J1033.5-5032,AGN,BL Lac,158.384,-50.591,1.88E-11,Known Source,,22394
12,Source,2FGL J1240.6-7151,AGN,BL Lac,190.088,-71.816,1.2E-11,Known Source,,23189
13,Source,2MASS J00454334+1217119,AGN,BL Lac,11.431,12.287,3.13E-12,Known Source,,25074
14,Source,2MASS J08471293+1133501,AGN,BL Lac,131.804,11.564,2.13E-11,Known Source,,22355
15,Source,2MASX J03525755-6831167,AGN,BL Lac,58.24,-68.521,3.01E-11,Known Source,,21257
16,Source,2MASX J08052657+7534247,AGN,BL Lac,121.361,75.574,2.35E-11,Known Source,,22256
17,Source,3C 273,AGN,BL Lac,187.278,2.052,2.22E-10,Known Source,,22299
18,Source,4C 39.49,AGN,BL Lac,253.468,39.76,1.44E-10,Known Source,,22958
19,Source,6C 032130+340016,AGN,BL Lac,51.172,34.179,2.13E-11,Known Source,,25677
20,Source,87GB 013336.4+385101,AGN,BL Lac,24.136,39.1,3.16E-11,Known Source,,21534
21,Source,87GB 064555.8+152016,AGN,BL Lac,102.199,15.274,1.37E-11,Known Source,,25544
22,Source,Mrk 421,AGN,BL Lac,166.114,38.209,2.41E-09,Known Source,,22543
23,Source,OKM2018 SWIFT J0244.8-5829,AGN,BL Lac,41.168,-58.332,7.14E-11,Known Source,,21673
24,Source,QSO B0317+18,AGN,BL Lac,49.966,18.76,1.28E-11,Known Source,,22225
25,Source,QSO B0647+250,AGN,BL Lac,102.694,25.05,4.32E-11,Known Source,,26768
26,Source,QSO B0927+500,AGN,BL Lac,142.657,49.84,1.64E-11,Known Source,,22055
27,Source,QSO B1218+304,AGN,BL Lac,185.341,30.177,4.4E-11,Known Source,,22070
28,Source,QSO B1426+428,AGN,BL Lac,217.136,42.673,7.7E-11,Known Source,,22965
29,Source,QSO B1553+113,AGN,BL Lac,238.929,11.19,4.5E-11,Known Source,,22909
30,Source,QSO B2005-489,AGN,BL Lac,302.356,-48.832,4.3E-11,Known Source,,23891
31,Source,QSO B2155-304,AGN,BL Lac,329.717,-30.226,1.32E-10,Known Source,,23881
32,Source,QSO J1103-2329,AGN,BL Lac,165.907,-23.492,7.62E-11,Known Source,,22372
33,Source,RX J0227.2+0201,AGN,BL Lac,36.819,2.033,6.12E-12,Known Source,,22015
34,Source,NGC 5920,AGN,LINER,230.466,7.709,1.19E-09,Known Source,,23243
35,Source,ZwCl 0335+0956,AGN,LINER,54.647,9.965,2.24E-10,Known Source,,21588
36,Source,[VV2006] J041327.2+102743,AGN,Quasar,63.363,10.462,5.14E-11,Known Source,,21591
37,Source,SDSS J081014.48+280337.1,AGN,Quasar,122.56,28.06,1.91E-11,Known Source,,21983
38,Source,US 1665,AGN,Quasar,131.935,46.876,4.63E-09,Known Source,,22099
39,Source,[MWC2015] MG J1549+3047 3357,AGN,Seyfert 1 Galaxy,237.536,30.958,1.13E-11,Known Source,,22962
40,Source,2E 3542,AGN,Seyfert 1 Galaxy,239.622,27.287,1.86E-11,Known Source,,23071
